Token: Weight
----------------
amendment: 0.0108889285
shaw: 0.0146301994
william: 0.0095502762
abc: 0.0339659825
freedom: 0.0079919472
kati: 0.0176991150
jr: 0.0113164037
cronkite: 0.0196700580
honorary: 0.0176991150
house: 0.0068862946
dow: 0.0150351319
bernard: 0.0146301994
info: 0.0136643192
jim: 0.0134381764
center: 0.0137725892
washington: 0.0068862946
time: 0.0042223120
lewis: 0.0115135405
jones: 0.0108889285
terry: 0.0185567252
cpj: 0.0279607717
harpers: 0.0196700580
books: 0.0095502762
index: 0.0042223120
gene: 0.0185567252
herald: 0.0212360509
peter: 0.0088495575
friedman: 0.0163828172
miami: 0.0196700580
josh: 0.0212360509
board: 0.0184317287
director: 0.0092158644
nation: 0.0113164037
james: 0.0101427259
executive: 0.0095502762
gould: 0.0196700580
graham: 0.0185567252
committee: 0.0088495575
dan: 0.0131978914
los: 0.0084446240
kramer: 0.0154014388
david: 0.0098579060
mosaic: 0.0196700580
foreign: 0.0061855754
amp: 0.0123711508
review: 0.0061855754
jane: 0.0176991150
newsday: 0.0196700580
forum: 0.0098579060
frank: 0.0131978914
bill: 0.0088495575
vice: 0.0123711508
anderson: 0.0115135405
john: 0.0253338721
protect: 0.0092158644
brokaw: 0.0212360509
marton: 0.0158618726
magazine: 0.0247423016
1996: 0.0042223120
karen: 0.0185567252
times: 0.0185567252
judith: 0.0185567252
tom: 0.0129415756
york: 0.0159838945
foundation: 0.0111086061
del: 0.0098579060
roberts: 0.0131978914
thomas: 0.0106559293
cbs: 0.0424721017
post: 0.0098579060
anthony: 0.0129415756
website: 0.0129415756
news: 0.0448724627
rea: 0.0196700580
walter: 0.0317237452
cnn: 0.0353982300
journalists: 0.0226328075
renee: 0.0212360509
chair: 0.0451053977
franz: 0.0158618726
nbc: 0.0424721017
victor: 0.0176991150
michael: 0.0115135405
moses: 0.0163828172
macarthur: 0.0185567252
directors: 0.0451053977
angeles: 0.0136643192
orme: 0.0185567252
