Token: Weight
----------------
skills: 0.0048910906
robots: 0.0057086991
president: 0.0029253808
institutional: 0.0062150848
passed: 0.0046257479
featured: 0.0067383149
house: 0.0029253808
teachers: 0.0052554137
city: 0.0029253808
went: 0.0051192776
spot: 0.0134766297
time: 0.0017936890
stock: 0.0099414987
materials: 0.0040570721
page: 0.0017936890
florida: 0.0040570721
presidential: 0.0039150100
feature: 0.0054977373
government: 0.0017936890
industry: 0.0058507617
worth: 0.0054977373
spots: 0.0075187972
programs: 0.0058507617
donated: 0.0083560776
support: 0.0022633837
national: 0.0017936890
kent: 0.0075187972
california: 0.0033950752
robo: 0.0083560776
told: 0.0041877571
mayors: 0.0065427166
international: 0.0022633837
image: 0.0035873780
outlets: 0.0075187972
24: 0.0029253808
distinguished: 0.0072145797
copyright: 0.0011316919
ceremony: 0.0069596181
1990: 0.0040570721
third: 0.0037593986
exceeded: 0.0167121552
largest: 0.0044213962
client�s: 0.0710938945
gk: 0.0083560776
1986: 0.0058047674
conclusion: 0.0041877571
1988: 0.0053194491
counts: 0.0090213297
robotic: 0.0121261952
owners: 0.0053194491
letters: 0.0118780723
1000: 0.0047190697
retail: 0.0065427166
mascot: 0.0250682309
series: 0.0039150100
mascots: 0.0203125402
program�s: 0.0304688103
19: 0.0031770603
retired: 0.0059390361
finally: 0.0046257479
excellent: 0.0059390361
principals: 0.0078831203
contact: 0.0029253808
trying: 0.0050467020
followed: 0.0049707494
costs: 0.0071747559
private: 0.0067901504
12: 0.0026277069
1996: 0.0017936890
excellence: 0.0067383149
personal: 0.0022633837
hired: 0.0065427166
concerned: 0.0041877571
significant: 0.0037593986
times: 0.0026277069
1992: 0.0078300200
locations: 0.0060630976
senators: 0.0069596181
dollar: 0.0043087522
promotional: 0.0067383149
published: 0.0041877571
direct: 0.0040570721
articles: 0.0041877571
marketing: 0.0121712163
return: 0.0026277069
enormous: 0.0062150848
robot: 0.0149122467
front: 0.0045267674
blocks: 0.0072145797
representatives: 0.0045267674
cnn: 0.0075187972
field: 0.0037593986
challenge: 0.0050467020
mount: 0.0083560776
successful: 0.0047190697
public: 0.0071747559
standing: 0.0057086991
design: 0.0033950752
world: 0.0017936890
sector: 0.0049707494
save: 0.0058047674
client: 0.0397659950
location: 0.0053194491
investors: 0.0059390361
initiatives: 0.0072145797
segment: 0.0063871052
recognition: 0.0100934040
award: 0.0164932106
study: 0.0035873780
type: 0.0033950752
identified: 0.0053810673
tools: 0.0053194491
sent: 0.0092514958
excelled: 0.0090213297
schools: 0.0046257479
results: 0.0058507617
maryland: 0.0043087522
bush: 0.0067383149
positive: 0.0138772437
conference: 0.0040570721
contributions: 0.0043087522
custom: 0.0150375944
gowell: 0.0083560776
consumers: 0.0054977373
white: 0.0033950752
rewarded: 0.0090213297
campaigns: 0.0047190697
hundreds: 0.0050467020
30000: 0.0083560776
offering: 0.0048910906
period: 0.0031770603
professional: 0.0035873780
virtually: 0.0060630976
targeted: 0.0060630976
winning: 0.0065427166
corporate: 0.0044213962
representing: 0.0046257479
program: 0.0158436857
company: 0.0095311804
educational: 0.0071747559
72: 0.0044213962
example: 0.0095311804
media: 0.0125558227
parents: 0.0048910906
targeting: 0.0072145797
proclamations: 0.0203125402
set: 0.0026277069
texas: 0.0037593986
promotion: 0.0053810673
children: 0.0067901504
education: 0.0017936890
coast: 0.0116095347
minute: 0.0062150848
journal: 0.0059390361
especially: 0.0029253808
experience: 0.0031770603
implement: 0.0062150848
multiple: 0.0051192776
major: 0.0022633837
appeared: 0.0054977373
annual: 0.0048910906
governors: 0.0075187972
congressional: 0.0060630976
community: 0.0052554137
agency: 0.0035873780
nearly: 0.0059390361
provides: 0.0029253808
provider: 0.0063871052
win: 0.0050467020
families: 0.0052554137
taught: 0.0059390361
it�s: 0.0090213297
outreach: 0.0225563906
objectives: 0.0043087522
nationwide: 0.0060630976
ran: 0.0134766297
relations: 0.0031770603
coverage: 0.0129262563
regional: 0.0086175045
administrators: 0.0069596181
peers: 0.0069596181
service: 0.0078831203
ad: 0.0044213962
special: 0.0029253808
local: 0.0131385336
praise: 0.0075187972
magnet: 0.0090213297
pr: 0.0090213297
clients: 0.0047190697
