Token: Weight
----------------
person: 0.0089414846
naples: 0.0237591453
jimmy: 0.0183292907
jersey: 0.0099009899
stunt: 0.0802445933
guys: 0.0220070947
people: 0.0141719189
tip: 0.0183292907
went: 0.0134824533
page: 0.0047239726
florida: 0.0106849624
injuring: 0.0207614843
report: 0.0094479453
ok: 0.0119219804
industry: 0.0077044680
dead: 0.0150347911
control: 0.0059609902
goes: 0.0119219804
victims: 0.0126609271
dream: 0.0152878026
walt: 0.0190007724
gone: 0.0183292907
available: 0.0069204951
bad: 0.0147659574
disney: 0.0380015448
ramp: 0.0534963943
extras: 0.0237591453
boating: 0.0207614843
december: 0.0106849624
injured: 0.0163684413
injuries: 0.0163684413
filmed: 0.0237591453
recreational: 0.0168214850
nick: 0.0190007724
fly: 0.0183292907
county: 0.0110291420
stars: 0.0440141894
due: 0.0083673066
flipped: 0.0237591453
air: 0.0110291420
killing: 0.0156414211
immediately: 0.0121826632
home: 0.0047239726
accident: 0.0152878026
newspress: 0.0534963943
comedy: 0.0177464522
set: 0.0069204951
19: 0.0083673066
land: 0.0106849624
collier: 0.0207614843
joe: 0.0207614843
details: 0.0121826632
stillwater: 0.0534963943
extent: 0.0106849624
side: 0.0110291420
pesci: 0.0534963943
southwest: 0.0190007724
everglades: 0.0237591453
trip: 0.0152878026
published: 0.0110291420
crowd: 0.0177464522
upsidedown: 0.0237591453
swamp: 0.0220070947
building: 0.0089414846
news: 0.0083673066
boats: 0.0198019799
return: 0.0069204951
officials: 0.0106849624
movie: 0.0760030895
glover: 0.0534963943
win: 0.0132913142
boat: 0.0689252540
landed: 0.0415229686
cyprus: 0.0177464522
hurt: 0.0172313135
ap: 0.0622844547
wrong: 0.0289583765
fishing: 0.0198019799
described: 0.0110291420
