Token: Weight
----------------
lower: 0.0064682779
shuttle: 0.0094317636
kilometers: 0.0200345833
received: 0.0168277640
people: 0.0029634861
033095: 0.0111328680
lband: 0.0205368027
city: 0.0048332377
center: 0.0048332377
galeras: 0.1006795540
transmitted: 0.0277893487
page: 0.0029634861
created: 0.0052490560
levels: 0.0064682779
false: 0.0105526084
feature: 0.0090832179
worldwide: 0.0074790064
sirc: 0.0102684014
international: 0.0037395032
channels: 0.0090832179
image: 0.0355618335
shown: 0.0152850803
miles: 0.0164250843
aperture: 0.0100172916
structures: 0.0073049152
european: 0.0056092548
30: 0.0037395032
bottom: 0.0095904851
latitude: 0.0100172916
home: 0.0029634861
300000: 0.0138056930
killed: 0.0084579373
ground: 0.0080809323
15: 0.0074790064
space: 0.0062111802
12: 0.0043414286
visited: 0.0098123206
1995: 0.0043414286
20: 0.0037395032
surrounding: 0.0073049152
volcano: 0.0781457126
southern: 0.0071188081
src=gificonsbackyellowgif: 0.0094317636
times: 0.0043414286
1993: 0.0056092548
1994: 0.0048332377
map: 0.0092631169
acquired: 0.0084579373
ability: 0.0059269723
centered: 0.0098123206
223: 0.0102684014
edge: 0.0098123206
green: 0.0129365558
hazard: 0.0138056930
dangerous: 0.0087886546
491: 0.0111328680
represents: 0.0338317491
including: 0.0018697516
red: 0.0146098305
volcanoes: 0.0149048055
summit: 0.0196246412
<img: 0.0043414286
erupted: 0.0149048055
synthetic: 0.0094317636
study: 0.0029634861
radar: 0.0507476218
srl1: 0.0138056930
colombia: 0.0108097065
march: 0.0062111802
aboard: 0.0100172916
updated: 0.0029634861
january: 0.0067029889
longitude: 0.0108097065
light: 0.0056092548
expedition: 0.0149048055
orange: 0.0105526084
vertically: 0.0216194130
spaceborne: 0.0100172916
colors: 0.0124223605
774: 0.0138056930
cband: 0.0102684014
305: 0.0111328680
imaging: 0.0175773092
orbit: 0.0105526084
radarcxband: 0.0114984997
align=bottom>: 0.0094317636
near: 0.0142376162
active: 0.0088904584
eruption: 0.0130242864
west: 0.0043414286
wall: 0.0095904851
xsar: 0.0130242864
north: 0.0086828573
volcanic: 0.0298096109
endeavour: 0.0105526084
multifrequency: 0.0130242864
360: 0.0100172916
upper: 0.0082125422
following: 0.0043414286
illumination: 0.0130242864
activity: 0.0056092548
monitored: 0.0124223605
population: 0.0118539445
top: 0.0059269723
april: 0.0059269723
brucechapmanjplnasagov: 0.0092631169
decade: 0.0079425694
community: 0.0043414286
caldera: 0.0149048055
degrees: 0.0161618646
crater: 0.0149048055
blue: 0.0083380295
horizontally: 0.0333986022
scientific: 0.0158851389
pit: 0.0130242864
local: 0.0043414286
