Token: Weight
----------------
home: 0.0140329786
information: 0.0088538239
press: 0.0228868015
text: 0.0345909223
submit: 0.0822317675
return: 0.0205579419
enter: 0.1201524585
radar: 0.0801016390
board: 0.0612583943
imaging: 0.0832337290
responses: 0.0929284468
response: 0.1225167885
email: 0.0294117648
button: 0.0177076478
page: 0.0280659571
jpl: 0.0527174026
bulletin: 0.1176470593
box: 0.0354152955
affiliation: 0.0616738237
welcome: 0.0420989357
bb: 0.0588235296
identifying: 0.0527174026
