Token: Weight
----------------
office: 0.0288204178
francis: 0.0685651228
minister: 0.0385700986
meet: 0.0353423171
fraternity: 0.0776633322
810: 0.0776633322
12: 0.0258877780
wednesday: 0.0740740746
schultz: 0.0823228359
royal: 0.1289157569
oak: 0.1481481493
parish: 0.0776633322
mile: 0.0740740746
pm: 0.0435589366
sfo: 0.0740740746
richard: 0.0473612472
st: 0.0399696752
4th: 0.0776633322
730: 0.0663848743
mi: 0.0771401972
nbsp: 0.0668955594
2200: 0.0710769668
