Token: Weight
----------------
shamanic: 0.0331752114
limited: 0.0046082949
causing: 0.0069977599
person: 0.0249702297
communities: 0.0059955302
clues: 0.0110584041
abusive: 0.0092165899
mentoring: 0.0096631795
creates: 0.0076184911
bring: 0.0154001387
people: 0.0043974309
missing: 0.0080201039
expect: 0.0085311448
washington: 0.0071719009
time: 0.0021987155
abuse: 0.0055489400
village: 0.0054197758
page: 0.0021987155
spouse: 0.0076184911
richard: 0.0058928737
gifts: 0.0088436780
partner: 0.0062752436
don146t: 0.0234880634
preparing: 0.0072801085
fully: 0.0055489400
carry: 0.0060931761
piece: 0.0145602170
move: 0.0052816961
confusion: 0.0078293551
element: 0.0067391614
animals: 0.0078293551
form: 0.0032210599
preparation: 0.0076184911
soul: 0.0355776064
parent: 0.0058928737
journey: 0.0076184911
vitality: 0.0102429334
grown: 0.0092165899
travels: 0.0082598692
coming: 0.0064421198
po: 0.0062752436
home: 0.0043974309
827: 0.0102429334
retrieval: 0.0579790771
techniques: 0.0043974309
northwest: 0.0078293551
protect: 0.0047990447
occurred: 0.0055489400
vancouver: 0.0072801085
1996: 0.0043974309
life: 0.0055489400
practising: 0.0102429334
leave: 0.0065206145
times: 0.0032210599
agreements: 0.0059955302
usually: 0.0054197758
left: 0.0047990447
situation: 0.0041617053
assurances: 0.0092165899
hole: 0.0102429334
stolen: 0.0092165899
disconnected: 0.0221168082
safe: 0.0065206145
96: 0.0049731852
haven: 0.0110584041
meaning: 0.0052816961
process: 0.0035859505
doesn146t: 0.0110584041
library: 0.0113405436
spirit: 0.0130412290
october: 0.0131922932
returned: 0.0068726349
world: 0.0043974309
decides: 0.0074321837
fear: 0.0055489400
resources: 0.0116833830
stressful: 0.0102429334
individual: 0.0071719009
aware: 0.0065961466
gossett: 0.0221168082
changed: 0.0059955302
comfortable: 0.0092165899
incidents: 0.0072801085
takes: 0.0052816961
disturbing: 0.0088436780
integrative: 0.0110584041
care: 0.0087948618
power: 0.0064421198
childhood: 0.0065961466
welcome: 0.0065961466
relates: 0.0064421198
shared: 0.0226810873
traumatic: 0.0193263590
returning: 0.0085311448
goes: 0.0055489400
situations: 0.0119910603
involves: 0.0065961466
unable: 0.0062752436
canada: 0.0052816961
begins: 0.0134783229
pacific: 0.0065961466
possibility: 0.0068726349
sense: 0.0154001387
integrating: 0.0082598692
comes: 0.0059955302
requires: 0.0054197758
4453909: 0.0110584041
pieces: 0.0082598692
involved: 0.0038944609
svaha: 0.0110584041
issues: 0.0027744700
lives: 0.0051333793
column: 0.0082598692
images: 0.0056702718
memories: 0.0096631795
example: 0.0038944609
therapy: 0.0060931761
phase: 0.0068726349
psychotherapist: 0.0110584041
lost: 0.0170108154
loss: 0.0102667585
issue: 0.0032210599
dealing: 0.0043974309
writing: 0.0046082949
currently: 0.0046082949
circle: 0.0082598692
online: 0.0102667585
360: 0.0074321837
molestation: 0.0110584041
leaving: 0.0065961466
child: 0.0046082949
wary: 0.0110584041
shaman: 0.0409717336
finding: 0.0065206145
stuck: 0.0204858668
develop: 0.0047990447
top: 0.0043974309
reached: 0.0056702718
animal: 0.0069977599
feel: 0.0068726349
trauma: 0.0088436780
vision: 0.0052816961
rick: 0.0092165899
therapist: 0.0102429334
conway: 0.0221168082
negotiate: 0.0082598692
community: 0.0032210599
98238: 0.0110584041
ritualistic: 0.0110584041
attachment: 0.0110584041
know: 0.0102667585
emotionally: 0.0085311448
helping: 0.0064421198
retrieve: 0.0204858668
box: 0.0055489400
energy: 0.0043974309
lodge: 0.0096631795
visions: 0.0188257303
