Token: Weight
----------------
mcgovern: 0.0071915807
35: 0.0034921404
36: 0.0086065503
33: 0.0078863017
39: 0.0044594263
37: 0.0044594263
38: 0.0043032751
randolph: 0.0053761569
washington: 0.0032155011
florida: 0.0044594263
1975: 0.0066643963
41: 0.0044594263
republicans: 0.0050844997
virginia: 0.0086065503
durkin: 0.0082644625
tunney: 0.0082644625
laxalt: 0.0068314564
california: 0.0037317767
williams: 0.0048598815
22: 0.0032155011
23: 0.0064310022
26: 0.0069842809
27: 0.0034921404
29: 0.0037317767
javits: 0.0066643963
32: 0.0039431509
eagleton: 0.0062748506
nebraska: 0.0048598815
fannin: 0.0082644625
hatfield: 0.0062748506
pastore: 0.0082644625
wisconsin: 0.0047360663
oklahoma: 0.0047360663
19: 0.0069842809
17: 0.0086649172
18: 0.0028883058
glenn: 0.0065280311
15: 0.0049757026
gravel: 0.0070205368
hart: 0.0120859342
13: 0.0032155011
percy: 0.0061626513
11: 0.0144415293
12: 0.0086649172
idaho: 0.0048598815
curtis: 0.0074065770
abourezk: 0.0076498277
arizona: 0.0043032751
hollings: 0.0061626513
proxmire: 0.0062748506
louisiana: 0.0049757026
tennessee: 0.0046030716
pennsylvania: 0.0041322312
buckley: 0.0082644625
michigan: 0.0041322312
10: 0.0049757026
south: 0.0057766116
vermont: 0.0048598815
johnston: 0.0060429671
oregon: 0.0048598815
77: 0.0046030716
pell: 0.0062748506
magnuson: 0.0071915807
stone: 0.0070205368
talmadge: 0.0071915807
allen: 0.0059147263
mcclure: 0.0062748506
eastland: 0.0076498277
83: 0.0046030716
81: 0.0050844997
key: 0.0028883058
84: 0.0047360663
67: 0.0086065503
66: 0.0055472013
beall: 0.0079300748
69: 0.0052841059
index: 0.0019715754
mexico: 0.0037317767
georgia: 0.0044594263
hartke: 0.0082644625
senate: 0.0097197630
mississippi: 0.0049757026
hansen: 0.0054637156
70: 0.0039431509
71: 0.0092061432
75: 0.0043032751
illinois: 0.0034921404
56: 0.0086065503
texas: 0.0041322312
culver: 0.0074065770
byrd: 0.0120859342
island: 0.0039431509
goldwater: 0.0053761569
helms: 0.0060429671
65: 0.0041322312
63: 0.0133782793
hawaii: 0.0046030716
49: 0.0049757026
48: 0.0086065503
pearson: 0.0076498277
44: 0.0089188525
46: 0.0046030716
packwood: 0.0062748506
stevenson: 0.0070205368
symington: 0.0074065770
bartlett: 0.0070205368
rhode: 0.0048598815
connecticut: 0.0046030716
53: 0.0047360663
54: 0.0047360663
50: 0.0028883058
cranston: 0.0062748506
kennedy: 0.0047360663
burdick: 0.0061626513
brock: 0.0082644625
roth: 0.0051870761
mcclellan: 0.0079300748
bumpers: 0.0068314564
minnesota: 0.0048598815
morgan: 0.0061626513
nunn: 0.0065280311
arkansas: 0.0048598815
iowa: 0.0047360663
inouye: 0.0061626513
church: 0.0046030716
montoya: 0.0082644625
bentsen: 0.0062748506
hathaway: 0.0076498277
bayh: 0.0071915807
stafford: 0.0062748506
carolina: 0.0094721327
nevada: 0.0048598815
ratings: 0.0092061432
indiana: 0.0048598815
scott: 0.0097197630
moss: 0.0068314564
ohio: 0.0046030716
jackson: 0.0057766116
montana: 0.0048598815
ford: 0.0046030716
mansfield: 0.0082644625
100: 0.0099514052
muskie: 0.0074065770
thurmond: 0.0060429671
97: 0.0163911469
94: 0.0049757026
mcintyre: 0.0074065770
91: 0.0044594263
hruska: 0.0082644625
haskell: 0.0082644625
utah: 0.0049757026
bellmon: 0.0071915807
kansas: 0.0047360663
88: 0.0049757026
89: 0.0149271078
clark: 0.0063804463
jr: 0.0052841059
jersey: 0.0041322312
wyoming: 0.0049757026
type: 0.0037317767
cannon: 0.0068314564
bold: 0.0050844997
maryland: 0.0047360663
nelson: 0.0052841059
stennis: 0.0062748506
dakota: 0.0097197630
alaska: 0.0047360663
mcgee: 0.0082644625
fong: 0.0082644625
mathias: 0.0058469973
hampshire: 0.0048598815
ribicoff: 0.0071915807
issues: 0.0024878513
sparkman: 0.0076498277
chiles: 0.0062748506
domenici: 0.0062748506
west: 0.0028883058
mondale: 0.0082644625
schweiker: 0.0071915807
brooke: 0.0076498277
leahy: 0.0061626513
weicker: 0.0062748506
alabama: 0.0048598815
north: 0.0057766116
kentucky: 0.0048598815
griffin: 0.0071915807
humphrey: 0.0062748506
stevens: 0.0058469973
york: 0.0024878513
baker: 0.0059147263
maine: 0.0047360663
huddleston: 0.0068314564
biden: 0.0065280311
colorado: 0.0046030716
massachusetts: 0.0044594263
dole: 0.0056269742
metcalf: 0.0079300748
tower: 0.0061626513
taft: 0.0082644625
missouri: 0.0047360663
acu: 0.0142081995
