Token: Weight
----------------
home: 0.0190848503
call: 0.0361235999
common: 0.0361235999
buy: 0.0584959202
800: 0.0544691123
sense: 0.0445577316
offer: 0.0445577316
customers: 0.0631913394
monthly: 0.1169918403
barons: 0.0838764012
cigar: 0.1677528024
months: 0.0381697007
free: 0.0279588010
baron: 0.1599999964
month: 0.0445577316
cigars: 0.0889086574
value: 0.0361235999
special: 0.1245042011
worth: 0.0584959202
