Token: Weight
----------------
ladies: 0.0857026353
building: 0.0645064339
association: 0.0322532170
contents: 0.0420032628
vision: 0.0818662941
table: 0.0532629229
25: 0.0249632169
anyway: 0.0714285746
bement: 0.2571079135
publications: 0.0357142873
preview: 0.0857026353
bay: 0.0958873406
page: 0.0170400459
family: 0.0301820729
library: 0.1757784337
yesterdays: 0.0857026353
sneak: 0.0857026353
design: 0.0322532170
misery: 0.1180866137
