Token: Weight
----------------
fish: 0.0014242426
zeferetti: 0.0018420483
andrews: 0.0026312822
mathis: 0.0017317042
natcher: 0.0015109592
pursell: 0.0016449877
florida: 0.0010738121
yatron: 0.0015109592
conyers: 0.0015109592
billy: 0.0016449877
patterson: 0.0016449877
buchanan: 0.0017317042
evans: 0.0053429762
patten: 0.0017834743
mazzoli: 0.0015109592
teague: 0.0019095306
rousselot: 0.0016905174
mcewen: 0.0015109592
nebraska: 0.0011702401
whalen: 0.0019095306
wisconsin: 0.0011404260
sawyer: 0.0016449877
anderson: 0.0025891147
rodino: 0.0015109592
florio: 0.0016047602
hammerschmidt: 0.0015109592
danielson: 0.0017317042
idaho: 0.0011702401
de: 0.0004747476
flippo: 0.0016449877
murphy: 0.0044518262
dornan: 0.0017317042
chappell: 0.0015109592
roncalio: 0.0019095306
keys: 0.0019900498
montgomery: 0.0014079338
studds: 0.0015719240
louisiana: 0.0011981295
gudger: 0.0020864778
marlenee: 0.0016905174
broyhill: 0.0014839421
moorhead: 0.0017834743
wylie: 0.0015109592
runnels: 0.0017834743
stanton: 0.0016905174
jenkins: 0.0016047602
wolff: 0.0017834743
moorehead: 0.0016047602
johnson: 0.0025447835
wiggins: 0.0019095306
oaker: 0.0017317042
michel: 0.0013909852
horton: 0.0015109592
coleman: 0.0016449877
hannaford: 0.0022116583
cleveland: 0.0016449877
scheuer: 0.0015363862
waggonner: 0.0019095306
schroeder: 0.0015719240
spence: 0.0015109592
ottinger: 0.0017317042
duncan: 0.0030219185
key: 0.0006954926
gephart: 0.0016449877
fary: 0.0018420483
railsback: 0.0016905174
meyers: 0.0018420483
georgia: 0.0010738121
gibbons: 0.0015109592
lent: 0.0014551225
baucus: 0.0016449877
risenhoover: 0.0022116583
hansen: 0.0013156411
mississippi: 0.0011981295
bonker: 0.0016047602
lloyd: 0.0028158675
lehman: 0.0015363862
solarz: 0.0017317042
volkmer: 0.0018420483
rinaldo: 0.0015719240
lafante: 0.0023877351
neal: 0.0015719240
van: 0.0008408936
pettis: 0.0019095306
texas: 0.0009950249
latta: 0.0013357440
glickman: 0.0016449877
delaney: 0.0017834743
island: 0.0009494951
hanley: 0.0018420483
goldwater: 0.0012945574
bevill: 0.0015109592
metcalfe: 0.0019095306
vento: 0.0016449877
gammage: 0.0023877351
boland: 0.0015109592
hawaii: 0.0011084013
quillen: 0.0015109592
grassley: 0.0016449877
huckaby: 0.0016449877
dodd: 0.0016047602
frey: 0.0017317042
shuster: 0.0015719240
myers: 0.0030219185
connecticut: 0.0011084013
holland: 0.0016047602
ashbrook: 0.0016905174
brown: 0.0036729821
roybal: 0.0015363862
breaux: 0.0015719240
daniel: 0.0026312822
ireland: 0.0012243274
abdnor: 0.0016047602
weiss: 0.0015363862
mollohan: 0.0015109592
skubitz: 0.0019095306
chisholm: 0.0016905174
