Token: Weight
----------------
benefit: 0.0011474547
particular: 0.0004801116
jewelry: 0.0012757436
managing: 0.0009841884
accounting: 0.0007239382
party: 0.0008985625
recipient: 0.0018504653
time: 0.0012682650
free: 0.0011147847
created: 0.0008985625
event: 0.0021088026
declared: 0.0008072907
located: 0.0019624385
laws: 0.0048011164
kin: 0.0043087206
role: 0.0006401489
duties: 0.0015857116
government: 0.0005073060
objects: 0.0009252327
substantial: 0.0007609589
202: 0.0007136750
essential: 0.0006093185
corporationall: 0.0007431898
death: 0.0098841870
preexisting: 0.0011816674
promised: 0.0008398637
unnecessary: 0.0011147846
parent: 0.0033991325
fee: 0.0008072907
conditions: 0.0009602233
requested: 0.0008398637
authorities: 0.0006401489
payments: 0.0006798265
19951996: 0.0007431898
400: 0.0007431898
retain: 0.0019057859
20036: 0.0012757436
review: 0.0003715949
bills: 0.0007609589
continues: 0.0008072907
relying: 0.0011147846
typically: 0.0007774577
idea: 0.0006401489
dependent: 0.0015857116
isba: 0.0011816674
312: 0.0006798265
217: 0.0006916694
aid: 0.0005316321
authority: 0.0005316321
incapacity: 0.0038272308
leave: 0.0015044905
slightly: 0.0008208762
springfield: 0.0007609589
recognize: 0.0008208762
consider: 0.0006401489
usually: 0.0018757437
left: 0.0027681889
lived: 0.0007928558
minors: 0.0020404870
marriages: 0.0010202435
ensure: 0.0013082924
safe: 0.0007522453
transfers: 0.0016417523
illegal: 0.0006916694
debt: 0.0015044905
prevents: 0.0021265284
lawyers: 0.0007609589
charities: 0.0035450025
enjoy: 0.0008208762
ones: 0.0018757437
living: 0.0105191180
statutorily: 0.0012757436
321: 0.0010202435
history: 0.0002536530
independent: 0.0024005582
including: 0.0001600372
possession: 0.0008789009
days: 0.0005073060
forego: 0.0012757436
public: 0.0005073060
424: 0.0009841884
behalf: 0.0007774577
resources: 0.0013478437
taxfree: 0.0043087206
change: 0.0008273804
tool: 0.0012802978
moves: 0.0007609589
distributed: 0.0045134719
award: 0.0023323733
aware: 0.0007609589
policies: 0.0004492812
expenses: 0.0021410252
