Token: Weight
----------------
abb: 0.1352845132
home: 0.0153910080
robotrak: 0.0548054799
april: 0.0307820160
workspace: 0.0481084399
return: 0.0225474201
glue: 0.1352845132
robot: 0.0853044689
front: 0.0776851624
copyright: 0.0097106453
manipulating: 0.1548176557
pedastal: 0.1742946953
revision: 0.0509607568
1996: 0.0307820160
page: 0.0153910080
registered: 0.0419687107
trademarks: 0.0533294342
dispenser: 0.1742946953
simulations: 0.0979686379
irb6000: 0.1548176557
copy: 0.0307820160
