Token: Weight
----------------
home: 0.0090022879
concept: 0.0180045757
lovers: 0.0377358496
store: 0.1334880590
$1995: 0.0452768616
desktop: 0.0395643413
alive: 0.0320560373
add: 0.0253287312
character: 0.0236843880
12: 0.0131881135
hand: 0.0221904032
baron: 0.0754716992
treasure: 0.0791286826
indians: 0.0656740665
tradition: 0.0227192473
gifts: 0.0362090208
centuries: 0.0304298848
tall: 0.0905537233
painted: 0.0452768616
dream: 0.0291333608
rich: 0.0304298848
||: 0.0362090208
feet: 0.0573024116
indian: 0.1080274582
shown: 0.0232160185
accessories: 0.0349294059
barons: 0.1582573652
purchased: 0.0328370333
cigar: 0.3560790718
amp: 0.0263762269
