Token: Weight
----------------
opposing: 0.0045430530
knew: 0.0095716612
chance: 0.0039378591
disappeared: 0.0125223463
continued: 0.0030399470
spot: 0.0050489902
compliments: 0.0059067886
delegation: 0.0044500944
washington: 0.0043839505
time: 0.0013440035
financing: 0.0037814723
married: 0.0049024299
shelter: 0.0049024299
movement: 0.0021919752
fr: 0.0050489902
government: 0.0067200176
sara: 0.0056338026
intelligence: 0.0078757182
202: 0.0037814723
blood: 0.0041194311
colonel: 0.0056338026
struggle: 0.0033918873
leading: 0.0021919752
32: 0.0026880070
view: 0.0021919752
attacks: 0.0130484635
taxpayer: 0.0056338026
knowledge: 0.0058670007
killed: 0.0076717059
oklahoma: 0.0032285296
run: 0.0030399470
witness: 0.0049024299
allegations: 0.0044500944
strike: 0.0119575225
americas: 0.0036648733
american: 0.0013440035
guatemalan: 0.0532703511
longterm: 0.0047858306
citizen: 0.0041194311
wasnt: 0.0054058535
alpirez: 0.0152201001
violence: 0.0033129333
embassy: 0.0260740612
news: 0.0023805578
lawyers: 0.0040320107
front: 0.0067837746
wallace: 0.0059067886
admit: 0.0059067886
fire: 0.0036648733
picked: 0.0056338026
including: 0.0008479718
days: 0.0026880070
weapon: 0.0047858306
mailmiserybaycom: 0.0056338026
returned: 0.0042010187
rep: 0.0056338026
quotthe: 0.0050489902
body: 0.0056338026
discreet: 0.0067596440
ca: 0.0039858404
basis: 0.0026880070
losing: 0.0041194311
escaped: 0.0059067886
mike: 0.0059067886
policies: 0.0023805578
discussions: 0.0041194311
manuel: 0.0067596440
cars: 0.0044500944
kicked: 0.0067596440
dead: 0.0042775040
rebel: 0.0052148122
instance: 0.0041194311
misery: 0.0046569365
dc: 0.0037245611
documented: 0.0049024299
gen: 0.0041194311
seeing: 0.0046569365
association: 0.0025439153
watch: 0.0050489902
newsletter: 0.0045430530
automatic: 0.0049024299
white: 0.0025439153
hundreds: 0.0037814723
lake: 0.0037814723
kids: 0.0052148122
senate: 0.0033129333
country: 0.0021919752
decided: 0.0036648733
refugees: 0.0052148122
involved: 0.0023805578
tourist: 0.0054058535
bourgeois: 0.0062611732
disclosed: 0.0056338026
hope: 0.0033918873
legal: 0.0021919752
car: 0.0034660534
justice: 0.0028169013
funded: 0.0042775040
texas: 0.0056338026
children: 0.0025439153
education: 0.0013440035
husband: 0.0201959610
didnt: 0.0054058535
sister: 0.0054058535
complete: 0.0028169013
definite: 0.0067596440
trip: 0.0043494874
trained: 0.0047858306
chris: 0.0112676052
activity: 0.0025439153
constant: 0.0047858306
slaughter: 0.0056338026
consent: 0.0042010187
lay: 0.0046569365
happening: 0.0062611732
congressional: 0.0045430530
planned: 0.0037814723
message: 0.0042010187
representative: 0.0033129333
insistence: 0.0059067886
months: 0.0026880070
charge: 0.0036021229
school: 0.0025439153
supporting: 0.0035359787
mission: 0.0034660534
michael: 0.0036648733
pregnancy: 0.0045430530
meeting: 0.0029335003
peace: 0.0062757367
box: 0.0033918873
claim: 0.0032285296
harbury: 0.0532703511
sen: 0.0059067886
bamaca: 0.0228301529
visas: 0.0062611732
involvement: 0.0031378684
architects: 0.0062611732
street: 0.0056338026
rights: 0.0013440035
house: 0.0043839505
bizarre: 0.0059067886
course: 0.0031378684
center: 0.0021919752
break: 0.0040320107
camp: 0.0040320107
jennifer: 0.0228301529
social: 0.0016959436
report: 0.0013440035
devine: 0.0049024299
activities: 0.0043839505
headlines: 0.0056338026
educated: 0.0059067886
armed: 0.0041194311
thousands: 0.0040320107
frustration: 0.0098048598
reported: 0.0026880070
support: 0.0016959436
national: 0.0026880070
roy: 0.0049024299
murdered: 0.0046569365
fort: 0.0054058535
hunger: 0.0104296245
specter: 0.0052148122
happened: 0.0143574933
publications: 0.0028169013
