Token: Weight
----------------
burger: 0.0246968511
send: 0.0053013475
conspiracy: 0.0183690283
nice: 0.0205695387
contacts: 0.0183690283
reproduce: 0.0222222228
mug: 0.0600348450
shipping: 0.0351063013
march: 0.0222222228
please: 0.0106026949
page: 0.0106026949
card: 0.0168723781
walrus: 0.0600348450
cards: 0.0426461808
games: 0.0179198217
$1000: 0.0222222228
pumpkin: 0.0493937023
$300: 0.0199154634
hold: 0.0133791119
coffee: 0.0213230904
means: 0.0093899779
image: 0.0106026949
available: 0.0077663339
onte: 0.0600348450
cost: 0.0106026949
price: 0.0115710301
associated: 0.0127347568
company: 0.0093899779
owner: 0.0165706873
images: 0.0273433104
cafe: 0.0205695387
palace: 0.0213230904
1000: 0.0139474729
mugs: 0.2401393801
home: 0.0053013475
idea: 0.0133791119
oit: 0.0266630426
quick: 0.0162488669
$100: 0.0246968511
run: 0.0119909020
hand: 0.0261353627
mystic: 0.0600348450
name: 0.0106026949
larry: 0.0183690283
graphics: 0.0168723781
left: 0.0231420603
rain: 0.0411390774
dr: 0.0111111114
edge: 0.0526594557
cups: 0.0465980023
guy: 0.0213230904
agreement: 0.0106026949
resource: 0.0149158081
$40: 0.0222222228
web: 0.0119909020
links: 0.0162488669
print: 0.0157219265
produced: 0.0136716552
message: 0.0165706873
licensing: 0.0188774448
am: 0.0100343339
facing: 0.0149158081
printed: 0.0199154634
runs: 0.0193373635
comments: 0.0053013475
patch: 0.0266630426
atlas: 0.0232990012
