Token: Weight
----------------
press: 0.0370548218
uk: 0.0648441836
june: 0.0476190485
housing: 0.0648441836
british: 0.0256947912
releases: 0.0828744099
return: 0.0166421439
economy: 0.0227200612
prospects: 0.1433476210
economic: 0.0166421439
1996: 0.0795202106
european: 0.0215021428
environment: 0.0201213825
market: 0.0430042855
regional: 0.1091550589
july: 0.0495901294
october: 0.0227200612
ce: 0.0529218242
industry: 0.0185274109
construction: 0.0272887647
energy: 0.0227200612
september: 0.0256947912
