Token: Weight
----------------
professionals: 0.0110944025
constellation: 0.0099160066
thermal: 0.0082644625
1012cocoa: 0.0223270059
spaceports: 0.0099160066
optimal: 0.0070205368
teleoperation: 0.0099160066
course: 0.0046030716
washington: 0.0096465033
fl: 0.1646334380
spacecraft: 0.0259947516
advanced: 0.0049757026
mechanics: 0.0076498277
1721: 0.0099160066
vehicles: 0.0109274313
satellites: 0.0133287925
catalog: 0.0024878513
2931cocoa: 0.0334905125
missions: 0.0066643963
international: 0.0024878513
effects: 0.0032155011
24: 0.0032155011
ascent: 0.0091847787
fundamentals: 0.0099160066
solid: 0.0071915807
system: 0.0039431509
realtime: 0.0091847787
introduction: 0.0082644625
satellite: 0.0199931897
radiation: 0.0074065770
development: 0.0059147263
communications: 0.0019715754
minimum: 0.0049757026
vehicle: 0.0152534992
launch: 0.0491437577
ground: 0.0053761569
net: 0.0054637156
space: 0.0206611566
execution: 0.0074065770
sensing: 0.0076498277
modern: 0.0032155011
attitude: 0.0142081995
electromagnetic: 0.0091847787
dynamics: 0.0101689994
motor: 0.0054637156
command: 0.0059147263
mar: 0.0086065503
look: 0.0032155011
apr: 0.0082644625
mackison: 0.0223270059
leo: 0.0079300748
solar: 0.0066643963
process: 0.0032155011
licensing: 0.0070205368
flight: 0.0136629129
cocoa: 0.0086649172
testing: 0.0112539483
robotics: 0.0070205368
angeles: 0.0063804463
design: 0.0447813235
1113washington: 0.0223270059
resources: 0.0034921404
79: 0.0046030716
ca: 0.0116939945
technology: 0.0034921404
determination: 0.0061626513
structural: 0.0109274313
beach: 0.1240326017
remote: 0.0063804463
architecture: 0.0024878513
2426washington: 0.0223270059
exploration: 0.0057766116
qualification: 0.0091847787
software: 0.0053761569
rocket: 0.0079300748
applications: 0.0133782793
protection: 0.0037317767
systems: 0.0259947535
dc: 0.0874194503
control: 0.0124392565
loads: 0.0086649172
geo: 0.0099160066
station: 0.0053761569
kalman: 0.0076498277
intellectual: 0.0054637156
environments: 0.0071915807
property: 0.0043032751
orbit: 0.0070205368
propulsion: 0.0068314564
e3: 0.0099160066
environment: 0.0034921404
sounding: 0.0099160066
filter: 0.0079300748
estimation: 0.0066643963
rockets: 0.0091847787
signal: 0.0065280311
analysis: 0.0098578772
engineering: 0.0215046275
fresh: 0.0071915807
matlab: 0.0223270059
1921cocoa: 0.0223270059
kaplanmar: 0.0223270059
aerospace: 0.0079300748
angelo: 0.0091847787
diego: 0.0066643963
functions: 0.0047360663
application: 0.0064310022
nontechnical: 0.0198320132
political: 0.0019715754
46: 0.0046030716
launchspace: 0.0099160066
mission: 0.0050844997
trajectory: 0.0086649172
approach: 0.0039431509
operations: 0.0041322312
