Token: Weight
----------------
periods: 0.0004187957
advocacy: 0.0004467830
deductible: 0.0013317656
particular: 0.0002705482
party: 0.0055698492
religion: 0.0001803655
time: 0.0024299165
detrimental: 0.0006658828
compared: 0.0002995806
married: 0.0052137887
declared: 0.0022745864
role: 0.0001803655
duties: 0.0008935661
substantial: 0.0004288088
borders: 0.0005546011
distinction: 0.0004288088
corporationall: 0.0004187957
offers: 0.0002995806
shown: 0.0007372373
regard: 0.0003337158
ratified: 0.0006658828
fee: 0.0009098346
nephew: 0.0007188957
payments: 0.0007661796
irreconcilable: 0.0007188957
sick: 0.0005369658
violated: 0.0005749186
highrisk: 0.0059929444
20036: 0.0007188957
parte: 0.0009098346
existed: 0.0015269353
730: 0.0005369658
uncle: 0.0005546011
relies: 0.0006281935
judgment: 0.0068990225
knowledge: 0.0003119810
disabilities: 0.0018196693
behavior: 0.0012479242
312: 0.0003830898
net: 0.0003961112
relief: 0.0005369658
training: 0.0008987418
authority: 0.0014979029
510: 0.0005546011
concerned: 0.0003337158
springfield: 0.0025728529
guidelines: 0.0003897634
usually: 0.0031710069
debts: 0.0040244297
wellbeing: 0.0005991612
tell: 0.0004238986
lived: 0.0008935661
juvenile: 0.0005546011
trial: 0.0007214620
marriages: 0.0045993486
enjoyed: 0.0005546011
injunction: 0.0006658828
impaired: 0.0006658828
provocation: 0.0007188957
prevents: 0.0005991612
911: 0.0016186746
compensation: 0.0004079472
standards: 0.0002995806
licensing: 0.0005089784
including: 0.0015331067
days: 0.0014293627
mediation: 0.0012563871
aunt: 0.0007188957
public: 0.0004288088
advice: 0.0008762121
precise: 0.0004831588
resources: 0.0007595249
physical: 0.0048698680
basis: 0.0005717451
conviction: 0.0005213789
change: 0.0004662380
capital: 0.0002858725
medical: 0.0021643860
invalid: 0.0066588274
weddings: 0.0006658828
description: 0.0001803655
awarding: 0.0017247556
notified: 0.0005991612
motion: 0.0004187957
stating: 0.0004625728
contributions: 0.0003433577
assessed: 0.0005991612
involves: 0.0004288088
vital: 0.0004625728
300: 0.0003607310
monitor: 0.0004467830
station: 0.0003897634
304: 0.0005369658
mandatory: 0.0018196693
virtually: 0.0004831588
necessities: 0.0006281935
prenuptial: 0.0028755828
earning: 0.0012563871
speech: 0.0003523341
involved: 0.0005063500
factors: 0.0013527412
