Token: Weight
----------------
stubblefield: 0.0024102414
stephens: 0.0022058368
fish: 0.0016452458
hungate: 0.0024102414
caffery: 0.0027582457
andrews: 0.0015197922
mathis: 0.0020004169
natcher: 0.0017454183
galifianakis: 0.0027582457
florida: 0.0012404382
yatron: 0.0017454183
dwyer: 0.0019528391
conyers: 0.0017454183
biester: 0.0024102414
hutchinson: 0.0022988506
baring: 0.0027582457
buchanan: 0.0020004169
evans: 0.0015430147
zion: 0.0025548467
helstoski: 0.0024102414
patten: 0.0020602203
mazzoli: 0.0017454183
teague: 0.0044116736
rousselot: 0.0019528391
mcewen: 0.0017454183
nebraska: 0.0013518290
arends: 0.0025548467
whalen: 0.0022058368
wisconsin: 0.0013173886
rodino: 0.0017454183
anderson: 0.0044863103
hammerschmidt: 0.0017454183
danielson: 0.0020004169
idaho: 0.0013518290
de: 0.0005484152
steele: 0.0024102414
gettys: 0.0025548467
randall: 0.0024102414
murphy: 0.0034284177
chappell: 0.0017454183
roncalio: 0.0022058368
montgomery: 0.0016264062
louisiana: 0.0013840460
broyhill: 0.0034284177
moorhead: 0.0020602203
wylie: 0.0017454183
runnels: 0.0020602203
stanton: 0.0039056782
celler: 0.0027582457
okonski: 0.0027582457
wolff: 0.0020602203
johnson: 0.0029396636
wiggins: 0.0022058368
michel: 0.0016068276
heinz: 0.0017747909
grasso: 0.0025548467
horton: 0.0017454183
mayne: 0.0025548467
kee: 0.0025548467
cleveland: 0.0019002443
schwengel: 0.0027582457
scheuer: 0.0017747909
waggonner: 0.0022058368
spence: 0.0017454183
duncan: 0.0017454183
key: 0.0008034138
jarman: 0.0024102414
stuckey: 0.0024102414
robison: 0.0025548467
railsback: 0.0019528391
georgia: 0.0012404382
halpern: 0.0027582457
gibbons: 0.0017454183
lent: 0.0016809173
hansen: 0.0030395845
mississippi: 0.0013840460
mcculloch: 0.0025548467
lloyd: 0.0016264062
abbitt: 0.0027582457
tiernan: 0.0025548467
pettis: 0.0022058368
van: 0.0009713770
badillo: 0.0022988506
texas: 0.0011494253
latta: 0.0015430147
collier: 0.0024102414
aspinall: 0.0027582457
pirnie: 0.0027582457
delaney: 0.0020602203
island: 0.0010968305
hanley: 0.0021278833
goldwater: 0.0014954368
bevill: 0.0017454183
metcalfe: 0.0022058368
dowdy: 0.0020004169
hastings: 0.0022988506
boland: 0.0017454183
hawaii: 0.0012803946
riegle: 0.0017747909
thomson: 0.0024102414
quillen: 0.0017454183
pryor: 0.0019528391
clancy: 0.0024102414
gray: 0.0016809173
frey: 0.0020004169
dupont: 0.0022058368
myers: 0.0017454183
connecticut: 0.0012803946
nelsen: 0.0025548467
vigorito: 0.0024102414
ashbrook: 0.0019528391
brown: 0.0028286183
roybal: 0.0017747909
bow: 0.0027582457
sullivan: 0.0022058368
ohara: 0.0022988506
daniel: 0.0015197922
mollohan: 0.0017454183
skubitz: 0.0022058368
colmer: 0.0027582457
chisholm: 0.0019528391
talcott: 0.0024102414
minnesota: 0.0013518290
mills: 0.0036316863
brasco: 0.0025548467
roush: 0.0024102414
terry: 0.0024102414
betts: 0.0025548467
reuss: 0.0019528391
