Token: Weight
----------------
shaw: 0.0020359759
dymally: 0.0022798749
fish: 0.0017627632
andrews: 0.0032566977
natcher: 0.0018700910
pursell: 0.0020359759
florida: 0.0013290409
yatron: 0.0018700910
dwyer: 0.0020923275
donnelly: 0.0021433036
conyers: 0.0018700910
patterson: 0.0020359759
petri: 0.0019455462
evans: 0.0033064599
borski: 0.0024630541
bliley: 0.0022798749
mazzoli: 0.0018700910
towns: 0.0020359759
ritter: 0.0021433036
kramer: 0.0021433036
mcewen: 0.0018700910
nebraska: 0.0014483883
loeffler: 0.0022073789
wisconsin: 0.0014114877
sawyer: 0.0020359759
rodino: 0.0018700910
anderson: 0.0016022538
florio: 0.0019861870
hammerschmidt: 0.0018700910
crockett: 0.0022798749
idaho: 0.0014483883
de: 0.0005875878
emerson: 0.0022073789
flippo: 0.0020359759
barnes: 0.0021433036
murphy: 0.0018366524
stenholm: 0.0020923275
chappell: 0.0018700910
montgomery: 0.0017425780
studds: 0.0019455462
louisiana: 0.0014829064
marlenee: 0.0020923275
broyhill: 0.0018366524
wylie: 0.0018700910
jenkins: 0.0019861870
moorehead: 0.0019861870
johnson: 0.0015748197
oaker: 0.0021433036
michel: 0.0017216010
horton: 0.0018700910
hance: 0.0023633966
coleman: 0.0020359759
clinger: 0.0020359759
dreier: 0.0022798749
leath: 0.0022798749
mccollum: 0.0022798749
scheuer: 0.0019015616
schroeder: 0.0019455462
spence: 0.0018700910
ottinger: 0.0021433036
duncan: 0.0018700910
key: 0.0008608005
gephart: 0.0020359759
bryant: 0.0023633966
lipinski: 0.0024630541
georgia: 0.0013290409
gibbons: 0.0018700910
lent: 0.0018009827
hansen: 0.0032566977
mississippi: 0.0014829064
bonker: 0.0019861870
lloyd: 0.0017425780
lehman: 0.0019015616
solarz: 0.0021433036
volkmer: 0.0022798749
rinaldo: 0.0019455462
neal: 0.0019455462
ray: 0.0022073789
texas: 0.0012315271
harnett: 0.0022798749
latta: 0.0016532299
glickman: 0.0020359759
packard: 0.0022798749
island: 0.0011751755
mccandless: 0.0024630541
bevill: 0.0018700910
shelby: 0.0022073789
dowdy: 0.0021433036
vento: 0.0020359759
roemer: 0.0022798749
hawaii: 0.0013718514
boland: 0.0018700910
solomon: 0.0020359759
quillen: 0.0018700910
huckaby: 0.0020359759
gray: 0.0018009827
shuster: 0.0019455462
myers: 0.0018700910
connecticut: 0.0013718514
hutto: 0.0021433036
morrison: 0.0039723739
brown: 0.0030306624
britt: 0.0029552630
roybal: 0.0019015616
durbin: 0.0023633966
sabo: 0.0021433036
breaux: 0.0019455462
daniel: 0.0016283488
ireland: 0.0015153312
weiss: 0.0019015616
mollohan: 0.0018700910
roth: 0.0015459021
tauke: 0.0021433036
minnesota: 0.0014483883
boner: 0.0021433036
gradison: 0.0019861870
hertel: 0.0022798749
dewine: 0.0024630541
ratchford: 0.0023633966
iowa: 0.0014114877
dixon: 0.0018009827
rose: 0.0016283488
foley: 0.0018700910
spratt: 0.0022798749
carolina: 0.0028229754
nevada: 0.0014483883
bielenson: 0.0020359759
roe: 0.0018366524
bosco: 0.0024630541
collins: 0.0016532299
wright: 0.0016770047
gingrich: 0.0019015616
indiana: 0.0014483883
hoyer: 0.0022073789
franklin: 0.0019015616
holt: 0.0018700910
conte: 0.0018700910
wirth: 0.0020359759
gregg: 0.0022073789
sundquist: 0.0024630541
green: 0.0012825032
gejdenson: 0.0022798749
mccloskey: 0.0018700910
oxley: 0.0022798749
leland: 0.0021433036
mchugh: 0.0019861870
dorgan: 0.0021433036
bedell: 0.0020359759
russo: 0.0019861870
hunter: 0.0019861870
mckinney: 0.0018700910
mrazek: 0.0024630541
minish: 0.0019861870
kansas: 0.0014114877
ferraro: 0.0023633966
wyoming: 0.0014829064
carper: 0.0024630541
heftel: 0.0020923275
type: 0.0011121798
jeffords: 0.0019015616
rangel: 0.0018700910
levitas: 0.0021433036
vucanovich: 0.0024630541
lewis: 0.0032045075
mica: 0.0021433036
howard: 0.0016532299
nelson: 0.0031496393
miller: 0.0014829064
hiler: 0.0022798749
daschle: 0.0020923275
garza: 0.0018700910
lott: 0.0019015616
dakota: 0.0028967767
hayes: 0.0023633966
watkins: 0.0020359759
tallon: 0.0024630541
lafaice: 0.0019861870
carney: 0.0019015616
tauzin: 0.0022073789
mavroules: 0.0021433036
zschau: 0.0025824015
rogers: 0.0018366524
walgren: 0.0020359759
lantos: 0.0018700910
cooper: 0.0022073789
paul: 0.0016283488
addabbo: 0.0019015616
lujan: 0.0018366524
shumway: 0.0021433036
issues: 0.0007414532
la: 0.0010407611
wolpe: 0.0021433036
yates: 0.0018700910
albosta: 0.0023633966
penny: 0.0017425780
mack: 0.0024630541
kazen: 0.0019861870
oneill: 0.0017627632
vandergriff: 0.0029552630
alabama: 0.0014483883
derrick: 0.0019861870
hyde: 0.0019861870
brooks: 0.0018009827
jacobs: 0.0018366524
slattery: 0.0024630541
wilson: 0.0014483883
dingell: 0.0018700910
olin: 0.0024630541
maine: 0.0014114877
matsui: 0.0021433036
boxer: 0.0022073789
colorado: 0.0013718514
lagomarsino: 0.0019861870
massachusetts: 0.0013290409
goodling: 0.0018700910
fiedler: 0.0022798749
mcdade: 0.0018700910
missouri: 0.0014114877
kemp: 0.0018700910
moore: 0.0018700910
dannemeyer: 0.0021433036
acu: 0.0042344634
erdreich: 0.0024630541
gilman: 0.0019455462
hughes: 0.0016770047
mikulski: 0.0019861870
kennelly: 0.0023633966
35: 0.0062445668
36: 0.0038475099
33: 0.0023503511
molinari: 0.0022798749
39: 0.0039871228
pashayan: 0.0021433036
bereuter: 0.0021433036
washington: 0.0019166287
jones: 0.0045459936
43: 0.0102600260
41: 0.0026580817
wortley: 0.0022798749
virginia: 0.0025650065
republicans: 0.0015153312
moakley: 0.0019861870
california: 0.0011121798
