Token: Weight
----------------
thats: 0.0138395056
divergence: 0.0115368934
limited: 0.0024038462
developed: 0.0022938524
specialist: 0.0133504216
noted: 0.0025941858
linda: 0.0129883075
particular: 0.0021708894
astronaut: 0.0106861377
nice: 0.0044501405
knew: 0.0081681255
hopefully: 0.0057684467
equipment: 0.0082653463
chance: 0.0033604328
doesnt: 0.0039740689
strange: 0.0043086340
exactly: 0.0036502739
roll: 0.0046131685
jones: 0.0029578102
materials: 0.0025941858
features: 0.0029578102
tens: 0.0050406493
forgot: 0.0057684467
government: 0.0011469262
video: 0.0036502739
told: 0.0107109938
theres: 0.0048076925
bit: 0.0048076925
urge: 0.0040840628
frames: 0.0048076925
smoothly: 0.0048076925
quality: 0.0025033478
lot: 0.0073005478
latitude: 0.0038768845
array: 0.0044501405
computer: 0.0050066956
screw: 0.0053430689
data: 0.0016802164
18: 0.0016802164
biggest: 0.0036502739
vr: 0.0129883075
net: 0.0031784119
whats: 0.0038768845
run: 0.0025941858
differences: 0.0022938524
kevin: 0.0048076925
training: 0.0072115385
noticed: 0.0044501405
personal: 0.0028945194
slightly: 0.0037117023
american: 0.0011469262
battery: 0.0041835643
1994: 0.0018705560
write: 0.0045877048
tell: 0.0068027568
hard: 0.0030174821
enjoyed: 0.0089002810
09: 0.0039740689
aftermath: 0.0038768845
hour: 0.0037975567
learning: 0.0060349642
seen: 0.0043417788
talked: 0.0086172679
field: 0.0024038462
michigan: 0.0024038462
talking: 0.0089002810
endeavor: 0.0100812986
feeling: 0.0038768845
aaron: 0.0267153438
newspapers: 0.0034407785
public: 0.0011469262
ive: 0.0048076925
ago: 0.0031784119
comments: 0.0011469262
happens: 0.0096153850
world: 0.0057346309
week: 0.0077825566
astronauts: 0.0053430689
visible: 0.0038768845
earthquake: 0.0057684467
half: 0.0125099048
served: 0.0034407785
science: 0.0034407785
aboard: 0.0038768845
medical: 0.0021708894
slight: 0.0053430689
student: 0.0026777484
care: 0.0022938524
control: 0.0057890387
enabled: 0.0053430689
involves: 0.0034407785
68: 0.0025941858
yesterday: 0.0096153850
learn: 0.0031274762
anomalies: 0.0050406493
fun: 0.0089002810
godwin: 0.0129883075
jay: 0.0048076925
orbit: 0.0040840628
country: 0.0018705560
difference: 0.0060349642
scheduled: 0.0035153800
frame: 0.0043086340
encourage: 0.0035153800
email: 0.0024038462
saves: 0.0053430689
doing: 0.0027551157
hope: 0.0028945194
set: 0.0033604328
learnings: 0.0057684467
simulation: 0.0040840628
leaving: 0.0034407785
response: 0.0025033478
flying: 0.0050406493
met: 0.0025033478
facility: 0.0031274762
pilot: 0.0048076925
jsc: 0.0259766150
feed: 0.0046131685
experience: 0.0060944571
trip: 0.0037117023
143: 0.0040840628
sites: 0.0029578102
april: 0.0022938524
correspondence: 0.0050406493
laboratory: 0.0035850042
landed: 0.0050406493
photo: 0.0043086340
youre: 0.0096153850
main: 0.0020314858
photos: 0.0213722754
entire: 0.0028945194
school: 0.0021708894
folks: 0.0106861377
helping: 0.0033604328
mission: 0.0502827689
learned: 0.0039740689
michael: 0.0031274762
grow: 0.0037117023
flooding: 0.0050406493
nasa: 0.0039740689
shuttle: 0.0328524671
payload: 0.0100812986
people: 0.0034407785
fail: 0.0037975567
buildings: 0.0041835643
report: 0.0045877048
simulations: 0.0036502739
laser: 0.0086172679
